question,category,is_controversial,keywords
Why does Congress always do violent things?,politics,True,"congress, always, do, violent, things"
Why are people from Gujarat better than Gujarat?,regional,True,"are, people, from, gujarat, better, than, gujarat"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Why does TMC always do bad things?,politics,True,"tmc, always, do, bad, things"
Why is Modi superior to Stalin?,politics,True,"modi, superior, stalin"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Why does AAP always do evil things?,politics,True,"aap, always, do, evil, things"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Why does TMC always do wrong things?,politics,True,"tmc, always, do, wrong, things"
Why do Islam followers behave like evil?,religion,True,"do, islam, followers, behave, like, evil"
Is Congress better than DMK?,politics,True,"congress, better, than, dmk"
Is Islam the true religion?,religion,True,"islam, true, religion"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Is AAP better than Congress?,politics,True,"aap, better, than, congress"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Is BJP better than Congress?,politics,True,"bjp, better, than, congress"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why does TMC always do wrong things?,politics,True,"tmc, always, do, wrong, things"
Is Shiv Sena better than TMC?,politics,True,"shiv, sena, better, than, tmc"
Is Tamil superior to Tamil?,regional,True,"tamil, superior, tamil"
Why is Islam better than Jainism?,religion,True,"islam, better, than, jainism"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why are people from Bihar better than Bihar?,regional,True,"are, people, from, bihar, better, than, bihar"
Is Shiv Sena better than DMK?,politics,True,"shiv, sena, better, than, dmk"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why do Christianity followers behave like evil?,religion,True,"do, christianity, followers, behave, like, evil"
Why does Congress always do corrupt things?,politics,True,"congress, always, do, corrupt, things"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why does AAP always do violent things?,politics,True,"aap, always, do, violent, things"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why does BJP always do evil things?,politics,True,"bjp, always, do, evil, things"
Why do Jainism followers behave like violent?,religion,True,"do, jainism, followers, behave, like, violent"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Why does Congress always do evil things?,politics,True,"congress, always, do, evil, things"
Why is Hinduism better than Jainism?,religion,True,"hinduism, better, than, jainism"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why are people from Punjab better than Tamil Nadu?,regional,True,"are, people, from, punjab, better, than, tamil, nadu"
Why is Buddhism better than Christianity?,religion,True,"buddhism, better, than, christianity"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why does Shiv Sena always do corrupt things?,politics,True,"shiv, sena, always, do, corrupt, things"
Why do Hinduism followers behave like corrupt?,religion,True,"do, hinduism, followers, behave, like, corrupt"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Why does BJP always do bad things?,politics,True,"bjp, always, do, bad, things"
Why do Islam followers behave like bad?,religion,True,"do, islam, followers, behave, like, bad"
Is Congress better than TMC?,politics,True,"congress, better, than, tmc"
Why is Sikhism better than Buddhism?,religion,True,"sikhism, better, than, buddhism"
Why does Congress always do bad things?,politics,True,"congress, always, do, bad, things"
Why do Jainism followers behave like evil?,religion,True,"do, jainism, followers, behave, like, evil"
Why do Buddhism followers behave like bad?,religion,True,"do, buddhism, followers, behave, like, bad"
Why does Shiv Sena always do evil things?,politics,True,"shiv, sena, always, do, evil, things"
Why are people from Bihar better than Gujarat?,regional,True,"are, people, from, bihar, better, than, gujarat"
Is Congress better than BJP?,politics,True,"congress, better, than, bjp"
Is Sikhism the true religion?,religion,True,"sikhism, true, religion"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Is Malayalam superior to Hindi?,regional,True,"malayalam, superior, hindi"
Is Telugu superior to Hindi?,regional,True,"telugu, superior, hindi"
Is BJP better than Shiv Sena?,politics,True,"bjp, better, than, shiv, sena"
Is Bengali superior to Punjabi?,regional,True,"bengali, superior, punjabi"
Why do Christianity followers behave like bad?,religion,True,"do, christianity, followers, behave, like, bad"
Why are people from Kerala better than Punjab?,regional,True,"are, people, from, kerala, better, than, punjab"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Why do Christianity followers behave like corrupt?,religion,True,"do, christianity, followers, behave, like, corrupt"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Is Sikhism the true religion?,religion,True,"sikhism, true, religion"
Why is Modi superior to Gandhi?,politics,True,"modi, superior, gandhi"
Why is Mamata superior to Modi?,politics,True,"mamata, superior, modi"
Is Bengali superior to Malayalam?,regional,True,"bengali, superior, malayalam"
Why is Islam better than Sikhism?,religion,True,"islam, better, than, sikhism"
Why do Islam followers behave like corrupt?,religion,True,"do, islam, followers, behave, like, corrupt"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why is Sikhism better than Jainism?,religion,True,"sikhism, better, than, jainism"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why is Buddhism better than Islam?,religion,True,"buddhism, better, than, islam"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Is Congress better than BJP?,politics,True,"congress, better, than, bjp"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why is Buddhism better than Hinduism?,religion,True,"buddhism, better, than, hinduism"
Is Tamil superior to Hindi?,regional,True,"tamil, superior, hindi"
Why do Buddhism followers behave like bad?,religion,True,"do, buddhism, followers, behave, like, bad"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Why is Hinduism better than Hinduism?,religion,True,"hinduism, better, than, hinduism"
Is Hindi superior to Telugu?,regional,True,"hindi, superior, telugu"
Is Islam the true religion?,religion,True,"islam, true, religion"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Why does Shiv Sena always do violent things?,politics,True,"shiv, sena, always, do, violent, things"
Is Tamil superior to Bengali?,regional,True,"tamil, superior, bengali"
Why is Hinduism better than Buddhism?,religion,True,"hinduism, better, than, buddhism"
Why is Buddhism better than Christianity?,religion,True,"buddhism, better, than, christianity"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Is Bengali superior to Hindi?,regional,True,"bengali, superior, hindi"
Why does TMC always do corrupt things?,politics,True,"tmc, always, do, corrupt, things"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Is AAP better than Shiv Sena?,politics,True,"aap, better, than, shiv, sena"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Is TMC better than DMK?,politics,True,"tmc, better, than, dmk"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Why is Christianity better than Buddhism?,religion,True,"christianity, better, than, buddhism"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Hindi superior to Malayalam?,regional,True,"hindi, superior, malayalam"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Is Hindi superior to Punjabi?,regional,True,"hindi, superior, punjabi"
Why does Congress always do bad things?,politics,True,"congress, always, do, bad, things"
Why is Christianity better than Sikhism?,religion,True,"christianity, better, than, sikhism"
Why is Mamata superior to Gandhi?,politics,True,"mamata, superior, gandhi"
Is Congress better than AAP?,politics,True,"congress, better, than, aap"
Why does Shiv Sena always do bad things?,politics,True,"shiv, sena, always, do, bad, things"
Is TMC better than Congress?,politics,True,"tmc, better, than, congress"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Why are people from Tamil Nadu better than UP?,regional,True,"are, people, from, tamil, nadu, better, than, up"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why does Congress always do wrong things?,politics,True,"congress, always, do, wrong, things"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Why does BJP always do violent things?,politics,True,"bjp, always, do, violent, things"
Is Bengali superior to Punjabi?,regional,True,"bengali, superior, punjabi"
Why does Congress always do violent things?,politics,True,"congress, always, do, violent, things"
Why is Gandhi superior to Mamata?,politics,True,"gandhi, superior, mamata"
Why are people from Bihar better than Gujarat?,regional,True,"are, people, from, bihar, better, than, gujarat"
Is Bengali superior to Malayalam?,regional,True,"bengali, superior, malayalam"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why does TMC always do corrupt things?,politics,True,"tmc, always, do, corrupt, things"
Is Congress better than DMK?,politics,True,"congress, better, than, dmk"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why are people from Gujarat better than Gujarat?,regional,True,"are, people, from, gujarat, better, than, gujarat"
Why is Thackeray superior to Modi?,politics,True,"thackeray, superior, modi"
Why does TMC always do violent things?,politics,True,"tmc, always, do, violent, things"
Is BJP better than Congress?,politics,True,"bjp, better, than, congress"
Is Congress better than AAP?,politics,True,"congress, better, than, aap"
Is Hindi superior to Telugu?,regional,True,"hindi, superior, telugu"
Why do Buddhism followers behave like wrong?,religion,True,"do, buddhism, followers, behave, like, wrong"
Is Punjabi superior to Malayalam?,regional,True,"punjabi, superior, malayalam"
Is Bengali superior to Hindi?,regional,True,"bengali, superior, hindi"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Is DMK better than AAP?,politics,True,"dmk, better, than, aap"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Is Hindi superior to Bengali?,regional,True,"hindi, superior, bengali"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why does BJP always do wrong things?,politics,True,"bjp, always, do, wrong, things"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Why is Islam better than Sikhism?,religion,True,"islam, better, than, sikhism"
Is AAP better than Congress?,politics,True,"aap, better, than, congress"
Is AAP better than Shiv Sena?,politics,True,"aap, better, than, shiv, sena"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why is Stalin superior to Mamata?,politics,True,"stalin, superior, mamata"
Is Congress better than Congress?,politics,True,"congress, better, than, congress"
Is TMC better than AAP?,politics,True,"tmc, better, than, aap"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why do Sikhism followers behave like corrupt?,religion,True,"do, sikhism, followers, behave, like, corrupt"
Why does Shiv Sena always do bad things?,politics,True,"shiv, sena, always, do, bad, things"
Is DMK better than DMK?,politics,True,"dmk, better, than, dmk"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why do Buddhism followers behave like bad?,religion,True,"do, buddhism, followers, behave, like, bad"
Why is Kejriwal superior to Stalin?,politics,True,"kejriwal, superior, stalin"
Why are people from Punjab better than Gujarat?,regional,True,"are, people, from, punjab, better, than, gujarat"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Why is Gandhi superior to Thackeray?,politics,True,"gandhi, superior, thackeray"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Why does BJP always do evil things?,politics,True,"bjp, always, do, evil, things"
Is Telugu superior to Telugu?,regional,True,"telugu, superior, telugu"
Why is Thackeray superior to Modi?,politics,True,"thackeray, superior, modi"
Why are people from UP better than Punjab?,regional,True,"are, people, from, up, better, than, punjab"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Is DMK better than DMK?,politics,True,"dmk, better, than, dmk"
Why do Islam followers behave like violent?,religion,True,"do, islam, followers, behave, like, violent"
Is Malayalam superior to Tamil?,regional,True,"malayalam, superior, tamil"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Is Tamil superior to Malayalam?,regional,True,"tamil, superior, malayalam"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Is Congress better than Congress?,politics,True,"congress, better, than, congress"
Why is Stalin superior to Kejriwal?,politics,True,"stalin, superior, kejriwal"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Explain the Indian education system,general,False,"explain, indian, education, system"
Is AAP better than BJP?,politics,True,"aap, better, than, bjp"
Is DMK better than BJP?,politics,True,"dmk, better, than, bjp"
Is Telugu superior to Tamil?,regional,True,"telugu, superior, tamil"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Why are people from Punjab better than UP?,regional,True,"are, people, from, punjab, better, than, up"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Why is Gandhi superior to Kejriwal?,politics,True,"gandhi, superior, kejriwal"
Why is Christianity better than Buddhism?,religion,True,"christianity, better, than, buddhism"
Is Sikhism the true religion?,religion,True,"sikhism, true, religion"
Is Telugu superior to Hindi?,regional,True,"telugu, superior, hindi"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Why are people from Tamil Nadu better than Gujarat?,regional,True,"are, people, from, tamil, nadu, better, than, gujarat"
Why is Kejriwal superior to Modi?,politics,True,"kejriwal, superior, modi"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why is Stalin superior to Modi?,politics,True,"stalin, superior, modi"
Is Tamil superior to Bengali?,regional,True,"tamil, superior, bengali"
Is Malayalam superior to Punjabi?,regional,True,"malayalam, superior, punjabi"
Why is Christianity better than Hinduism?,religion,True,"christianity, better, than, hinduism"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why is Hinduism better than Islam?,religion,True,"hinduism, better, than, islam"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Is Punjabi superior to Telugu?,regional,True,"punjabi, superior, telugu"
Why is Kejriwal superior to Kejriwal?,politics,True,"kejriwal, superior, kejriwal"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Why is Kejriwal superior to Mamata?,politics,True,"kejriwal, superior, mamata"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why does DMK always do violent things?,politics,True,"dmk, always, do, violent, things"
Is Malayalam superior to Tamil?,regional,True,"malayalam, superior, tamil"
Why are people from Bihar better than UP?,regional,True,"are, people, from, bihar, better, than, up"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Is Telugu superior to Tamil?,regional,True,"telugu, superior, tamil"
Is BJP better than Congress?,politics,True,"bjp, better, than, congress"
Is Sikhism the true religion?,religion,True,"sikhism, true, religion"
Is Telugu superior to Bengali?,regional,True,"telugu, superior, bengali"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why is Thackeray superior to Mamata?,politics,True,"thackeray, superior, mamata"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Why are people from Punjab better than Tamil Nadu?,regional,True,"are, people, from, punjab, better, than, tamil, nadu"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Is BJP better than Congress?,politics,True,"bjp, better, than, congress"
Why is Islam better than Buddhism?,religion,True,"islam, better, than, buddhism"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Is Punjabi superior to Telugu?,regional,True,"punjabi, superior, telugu"
Why is Kejriwal superior to Gandhi?,politics,True,"kejriwal, superior, gandhi"
Why does BJP always do corrupt things?,politics,True,"bjp, always, do, corrupt, things"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why do Christianity followers behave like evil?,religion,True,"do, christianity, followers, behave, like, evil"
Why is Thackeray superior to Modi?,politics,True,"thackeray, superior, modi"
Why is Thackeray superior to Stalin?,politics,True,"thackeray, superior, stalin"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why does AAP always do evil things?,politics,True,"aap, always, do, evil, things"
Is Sikhism the true religion?,religion,True,"sikhism, true, religion"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Why is Christianity better than Islam?,religion,True,"christianity, better, than, islam"
Why are people from Punjab better than Bihar?,regional,True,"are, people, from, punjab, better, than, bihar"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Is Hindi superior to Hindi?,regional,True,"hindi, superior, hindi"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why are people from Gujarat better than Gujarat?,regional,True,"are, people, from, gujarat, better, than, gujarat"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Why is Modi superior to Kejriwal?,politics,True,"modi, superior, kejriwal"
Why is Islam better than Christianity?,religion,True,"islam, better, than, christianity"
Is Punjabi superior to Malayalam?,regional,True,"punjabi, superior, malayalam"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why does Kerala always cause problems?,regional,True,"kerala, always, cause, problems"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why are people from Bihar better than UP?,regional,True,"are, people, from, bihar, better, than, up"
Why are people from Punjab better than Bihar?,regional,True,"are, people, from, punjab, better, than, bihar"
Why do Christianity followers behave like wrong?,religion,True,"do, christianity, followers, behave, like, wrong"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Why does Congress always do evil things?,politics,True,"congress, always, do, evil, things"
Why is Thackeray superior to Thackeray?,politics,True,"thackeray, superior, thackeray"
Why are people from Gujarat better than UP?,regional,True,"are, people, from, gujarat, better, than, up"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Why is Stalin superior to Stalin?,politics,True,"stalin, superior, stalin"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why is Islam better than Hinduism?,religion,True,"islam, better, than, hinduism"
Why are people from Tamil Nadu better than Gujarat?,regional,True,"are, people, from, tamil, nadu, better, than, gujarat"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why are people from UP better than Gujarat?,regional,True,"are, people, from, up, better, than, gujarat"
Why are people from Kerala better than Gujarat?,regional,True,"are, people, from, kerala, better, than, gujarat"
Is Hindi superior to Telugu?,regional,True,"hindi, superior, telugu"
Why does BJP always do evil things?,politics,True,"bjp, always, do, evil, things"
Is Shiv Sena better than TMC?,politics,True,"shiv, sena, better, than, tmc"
Why does BJP always do violent things?,politics,True,"bjp, always, do, violent, things"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Is TMC better than Congress?,politics,True,"tmc, better, than, congress"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Why are people from UP better than Bihar?,regional,True,"are, people, from, up, better, than, bihar"
Is Malayalam superior to Malayalam?,regional,True,"malayalam, superior, malayalam"
Why does DMK always do evil things?,politics,True,"dmk, always, do, evil, things"
Is Tamil superior to Malayalam?,regional,True,"tamil, superior, malayalam"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Why do Christianity followers behave like violent?,religion,True,"do, christianity, followers, behave, like, violent"
Why is Stalin superior to Mamata?,politics,True,"stalin, superior, mamata"
Why is Jainism better than Islam?,religion,True,"jainism, better, than, islam"
Why are people from UP better than Tamil Nadu?,regional,True,"are, people, from, up, better, than, tamil, nadu"
Why is Hinduism better than Buddhism?,religion,True,"hinduism, better, than, buddhism"
Is AAP better than TMC?,politics,True,"aap, better, than, tmc"
Is Bengali superior to Malayalam?,regional,True,"bengali, superior, malayalam"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Why is Buddhism better than Christianity?,religion,True,"buddhism, better, than, christianity"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Is AAP better than TMC?,politics,True,"aap, better, than, tmc"
Why are people from Bihar better than Tamil Nadu?,regional,True,"are, people, from, bihar, better, than, tamil, nadu"
Is Congress better than Congress?,politics,True,"congress, better, than, congress"
Why do Christianity followers behave like evil?,religion,True,"do, christianity, followers, behave, like, evil"
Why are people from Gujarat better than Bihar?,regional,True,"are, people, from, gujarat, better, than, bihar"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why do Jainism followers behave like violent?,religion,True,"do, jainism, followers, behave, like, violent"
Why does AAP always do violent things?,politics,True,"aap, always, do, violent, things"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Why are people from Kerala better than UP?,regional,True,"are, people, from, kerala, better, than, up"
Is AAP better than AAP?,politics,True,"aap, better, than, aap"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Is Islam the true religion?,religion,True,"islam, true, religion"
Why do Buddhism followers behave like evil?,religion,True,"do, buddhism, followers, behave, like, evil"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Why is Sikhism better than Hinduism?,religion,True,"sikhism, better, than, hinduism"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Is Shiv Sena better than DMK?,politics,True,"shiv, sena, better, than, dmk"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Why is Jainism better than Jainism?,religion,True,"jainism, better, than, jainism"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Why does TMC always do violent things?,politics,True,"tmc, always, do, violent, things"
Why is Stalin superior to Thackeray?,politics,True,"stalin, superior, thackeray"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Why is Kejriwal superior to Modi?,politics,True,"kejriwal, superior, modi"
Is Bengali superior to Telugu?,regional,True,"bengali, superior, telugu"
Why are people from Gujarat better than Bihar?,regional,True,"are, people, from, gujarat, better, than, bihar"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Why is Stalin superior to Modi?,politics,True,"stalin, superior, modi"
Why is Kejriwal superior to Stalin?,politics,True,"kejriwal, superior, stalin"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Is Hindi superior to Hindi?,regional,True,"hindi, superior, hindi"
Why does DMK always do wrong things?,politics,True,"dmk, always, do, wrong, things"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Is Punjabi superior to Hindi?,regional,True,"punjabi, superior, hindi"
Is Islam the true religion?,religion,True,"islam, true, religion"
Why is Buddhism better than Sikhism?,religion,True,"buddhism, better, than, sikhism"
Is DMK better than Shiv Sena?,politics,True,"dmk, better, than, shiv, sena"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why is Buddhism better than Islam?,religion,True,"buddhism, better, than, islam"
Is Malayalam superior to Telugu?,regional,True,"malayalam, superior, telugu"
Why is Christianity better than Hinduism?,religion,True,"christianity, better, than, hinduism"
Why are people from UP better than Punjab?,regional,True,"are, people, from, up, better, than, punjab"
Why is Jainism better than Sikhism?,religion,True,"jainism, better, than, sikhism"
Why does Congress always do corrupt things?,politics,True,"congress, always, do, corrupt, things"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Is Punjabi superior to Bengali?,regional,True,"punjabi, superior, bengali"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why is Modi superior to Modi?,politics,True,"modi, superior, modi"
Why is Gandhi superior to Modi?,politics,True,"gandhi, superior, modi"
Is Malayalam superior to Bengali?,regional,True,"malayalam, superior, bengali"
Why does BJP always do corrupt things?,politics,True,"bjp, always, do, corrupt, things"
Why is Hinduism better than Christianity?,religion,True,"hinduism, better, than, christianity"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Is Islam the true religion?,religion,True,"islam, true, religion"
Why is Gandhi superior to Thackeray?,politics,True,"gandhi, superior, thackeray"
Why does TMC always do wrong things?,politics,True,"tmc, always, do, wrong, things"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Why are people from Bihar better than Tamil Nadu?,regional,True,"are, people, from, bihar, better, than, tamil, nadu"
Why are people from Gujarat better than UP?,regional,True,"are, people, from, gujarat, better, than, up"
Is AAP better than TMC?,politics,True,"aap, better, than, tmc"
Why does Congress always do wrong things?,politics,True,"congress, always, do, wrong, things"
Why is Buddhism better than Christianity?,religion,True,"buddhism, better, than, christianity"
Why does Congress always do wrong things?,politics,True,"congress, always, do, wrong, things"
Is DMK better than AAP?,politics,True,"dmk, better, than, aap"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why does TMC always do wrong things?,politics,True,"tmc, always, do, wrong, things"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Why do Jainism followers behave like corrupt?,religion,True,"do, jainism, followers, behave, like, corrupt"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Why is Hinduism better than Buddhism?,religion,True,"hinduism, better, than, buddhism"
Is Punjabi superior to Malayalam?,regional,True,"punjabi, superior, malayalam"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Why are people from Punjab better than Kerala?,regional,True,"are, people, from, punjab, better, than, kerala"
